id,text,label,language,source_tag
1,"3andek mushkla fil compte Poste Tunisienne, d5ol taw b lien hedha w confirm. [variant-1]",phishing,darija,tn_curated_manual
2,BIAT wallet mta3ek mawjoud fih ta7dith lazem t7ell lien fil message taw. [variant-2],phishing,darija,tn_curated_manual
3,"Tunisie Telecom 5ater facture ma t5allsetch, click hna bach ma yet9assch l ligne. [variant-3]",phishing,darija,tn_curated_manual
4,"Ooredoo points rab7et bon achat, sarrifhom tawa men site hedha. [variant-4]",phishing,darija,tn_curated_manual
5,"STB compte yetla3 fih risque, a3mel verification b CIN w mot de passe hneya. [variant-5]",phishing,darija,tn_curated_manual
6,"Baridnet yestana confirmation 2FA, 3abbi code li jek fil SMS fi hadh el page. [variant-6]",phishing,darija,tn_curated_manual
7,"Amende circulation b ismek, khallas bel carte fil portail hedha fel wa9t. [variant-7]",phishing,darija,tn_curated_manual
8,"CNAM carte so7iya m3attla, raw update obligatoire men lien el mou9tarah. [variant-8]",phishing,darija,tn_curated_manual
9,"Douane tounsia andha colis b ismek, paye frais sghira bach yetsallem. [variant-9]",phishing,darija,tn_curated_manual
10,"Steg facture متأخرة, d5ol lel espace client hedha w khalles taw. [variant-10]",phishing,darija,tn_curated_manual
11,"3andek mushkla fil compte Poste Tunisienne, d5ol taw b lien hedha w confirm. [variant-11]",phishing,darija,tn_curated_manual
12,BIAT wallet mta3ek mawjoud fih ta7dith lazem t7ell lien fil message taw. [variant-12],phishing,darija,tn_curated_manual
13,"Tunisie Telecom 5ater facture ma t5allsetch, click hna bach ma yet9assch l ligne. [variant-13]",phishing,darija,tn_curated_manual
14,"Ooredoo points rab7et bon achat, sarrifhom tawa men site hedha. [variant-14]",phishing,darija,tn_curated_manual
15,"STB compte yetla3 fih risque, a3mel verification b CIN w mot de passe hneya. [variant-15]",phishing,darija,tn_curated_manual
16,"Baridnet yestana confirmation 2FA, 3abbi code li jek fil SMS fi hadh el page. [variant-16]",phishing,darija,tn_curated_manual
17,"Amende circulation b ismek, khallas bel carte fil portail hedha fel wa9t. [variant-17]",phishing,darija,tn_curated_manual
18,"CNAM carte so7iya m3attla, raw update obligatoire men lien el mou9tarah. [variant-18]",phishing,darija,tn_curated_manual
19,"Douane tounsia andha colis b ismek, paye frais sghira bach yetsallem. [variant-19]",phishing,darija,tn_curated_manual
20,"Steg facture متأخرة, d5ol lel espace client hedha w khalles taw. [variant-20]",phishing,darija,tn_curated_manual
21,"3andek mushkla fil compte Poste Tunisienne, d5ol taw b lien hedha w confirm. [variant-21]",phishing,darija,tn_curated_manual
22,BIAT wallet mta3ek mawjoud fih ta7dith lazem t7ell lien fil message taw. [variant-22],phishing,darija,tn_curated_manual
23,"Tunisie Telecom 5ater facture ma t5allsetch, click hna bach ma yet9assch l ligne. [variant-23]",phishing,darija,tn_curated_manual
24,"Ooredoo points rab7et bon achat, sarrifhom tawa men site hedha. [variant-24]",phishing,darija,tn_curated_manual
25,"STB compte yetla3 fih risque, a3mel verification b CIN w mot de passe hneya. [variant-25]",phishing,darija,tn_curated_manual
